Data's start,Time,Latitude,Longitude,Pitch,Roll,Yaw,Acceleration(x axis),Acceleration(y axis),Acceleration(z axis),North,Compass(x axis),Compass(y axis),Compass(z axis),Temperature,Humidity,Pressure,Movement,R(photo),G(photo),B(photo),R(light),G(light),Blue(light),Clear
[I 220413 10:26:27 main:80] 0,10:26:27,-43.698,-109.667,330.371,67.333,11.965,0.02,0.031,0.012,11.928,26.826,-9.767,1.671,35.436,28.927,1006.767,False,0.0,0.9,0.0,1,1,1,4
[I 220413 10:26:31 main:80] 0,10:26:31,-43.588,-109.43,330.371,67.333,11.889,0.022,0.028,0.008,11.85,26.599,-9.819,1.53,35.223,28.771,1006.778,True,0.0,0.923,0.0,1,1,1,3
[I 220413 10:26:34 main:80] 0,10:26:34,-43.477,-109.193,330.371,67.333,11.807,0.019,0.031,0.013,11.76,26.536,-10.196,1.374,35.223,28.75,1006.783,False,0.0,0.911,0.0,1,1,1,3
[I 220413 10:26:37 main:80] 0,10:26:37,-43.365,-108.958,330.371,67.333,11.71,0.019,0.031,0.014,11.642,26.331,-10.061,1.113,35.667,28.927,1006.761,False,0.0,0.875,0.0,1,1,1,3
[I 220413 10:26:41 main:80] 0,10:26:41,-43.253,-108.723,330.371,67.333,11.588,0.02,0.031,0.012,11.537,26.323,-9.935,1.306,35.507,28.75,1006.749,False,0.0,0.913,0.0,1,1,1,3
[I 220413 10:26:44 main:80] 0,10:26:44,-43.14,-108.489,330.371,67.333,11.507,0.019,0.031,0.013,11.479,26.029,-9.95,1.422,36.094,28.866,1006.739,False,0.0,0.905,0.0,1,1,1,3
[I 220413 10:26:47 main:80] 0,10:26:47,-43.028,-108.259,330.371,67.333,11.443,0.02,0.032,0.013,11.382,26.083,-9.816,0.959,35.543,28.514,1006.747,False,0.0,0.912,0.0,1,1,1,3
[I 220413 10:26:51 main:80] 0,10:26:51,-42.915,-108.028,330.371,67.333,11.322,0.021,0.032,0.013,11.288,26.491,-9.845,1.383,35.934,28.906,1006.758,False,0.0,0.918,0.0,1,1,1,3
[I 220413 10:26:54 main:80] 0,10:26:54,-42.8,-107.796,330.371,67.333,11.258,0.022,0.034,0.015,11.219,26.376,-9.734,0.987,35.88,28.851,1006.747,False,0.0,0.919,0.0,1,1,1,3
[I 220413 10:26:57 main:80] 0,10:26:57,-42.684,-107.564,330.371,67.333,11.168,0.02,0.033,0.017,11.135,25.97,-9.858,1.095,35.578,28.796,1006.775,False,0.0,0.91,0.0,1,1,1,4
[I 220413 10:27:01 main:80] 0,10:27:01,-42.569,-107.335,330.371,67.333,11.095,0.02,0.033,0.015,11.054,26.169,-9.564,0.902,36.289,28.891,1006.772,False,0.0,0.913,0.0,1,1,1,4
[I 220413 10:27:04 main:80] 0,10:27:04,-42.452,-107.104,330.371,67.333,10.993,0.019,0.033,0.014,10.932,26.101,-9.562,0.955,35.329,28.735,1006.764,False,0.0,0.906,0.0,1,1,1,4
[I 220413 10:27:07 main:80] 0,10:27:07,-42.335,-106.876,330.371,67.333,10.885,0.02,0.032,0.015,10.844,26.187,-9.536,0.804,35.56,28.435,1006.752,False,0.0,0.931,0.0,1,1,1,4
[I 220413 10:27:11 main:80] 0,10:27:11,-42.217,-106.648,330.371,67.333,10.775,0.019,0.032,0.015,10.683,25.825,-9.047,0.322,35.649,28.881,1006.77,False,0.0,0.93,0.0,1,1,1,4
[I 220413 10:27:14 main:80] 0,10:27:14,-42.1,-106.422,330.371,67.333,10.588,0.019,0.031,0.012,10.513,25.831,-9.255,0.549,35.525,28.64,1006.746,False,0.0,0.911,0.0,1,1,1,4
[I 220413 10:27:17 main:80] 0,10:27:17,-41.981,-106.195,330.371,67.333,10.446,0.019,0.031,0.015,10.394,26.089,-9.318,0.778,35.543,29.007,1006.763,False,0.0,0.911,0.0,1,1,1,4
[I 220413 10:27:20 main:80] 0,10:27:20,-41.863,-105.972,330.371,67.333,10.336,0.02,0.029,0.008,10.315,26.086,-9.177,1.171,35.56,28.833,1006.746,True,0.0,0.901,0.0,1,1,1,4
